Nombre,Precio_Venta,Stock,SKU,Codigo_Barras
RECOLECTOR DE ORINA,0.7,0,RDO-0093,7590000000093
RECOLECTOR DE ECES,0.7,0,RDE-0094,7590000000094
TERMOMETRO,3.0,0,T-0095,7590000000095
JERINGA DE 5,0.5,0,JD5-0096,7590000000096
JERINGA DE 10,0.5,0,JD1-0097,7590000000097
TIRRO FINO BLANCO,1.0,0,TFB-0098,7590000000098
CONDON PERSERVATIVO,0.6,0,CP-0099,7590000000099
VAPORUT COLOMBIANO,1.0,0,VC-0100,7590000000100
VAPORUT NACIONAL,3.0,0,VN-0101,7590000000101
GAZAS,0.3,0,G-0102,7590000000102
ALKA SELZER,0.5,0,AS-0103,7590000000103
MENTUS 30G PEQUEÑO,1.0,0,M3P-0104,7590000000104
MENTUS 110G MEDIANO,2.5,0,M1M-0105,7590000000105
ALGODÓN 25G ALGOBAP,1.8,0,A2A-0106,7590000000106
ALCOHOL 100 ML,1.1,0,A1M-0107,7590000000107
ALGODÓN AMY 50 UND,3.5,0,AA5U-0108,7590000000108
PANALES HUGME XG 10 UND,3.9,0,PHX1U-0109,7590000000109
TALCO MELODY 200G,4.0,0,TM2-0110,7590000000110
DESODORANTE POMO CLINICAL,2.5,0,DPC-0111,7590000000111
DESODORANTE POMO SPEED STICK,1.9,0,DPSS-0112,7590000000112
TAPA BOCA DE NINA,0.6,0,TBDN-0113,7590000000113
TOALLITAS AMY 24 UND,1.6,0,TA2U-0114,7590000000114
SHAMPO SOBRE HEAD SHOULDERS,0.5,0,SSHS-0115,7590000000115
SHAMPO ALIVE 350 ML,4.0,0,SA3M-0116,7590000000116
ACONDICIONADOR DRENA 370 ML,5.5,0,AD3M-0117,7590000000117
SHAMPO SOBRE PANTENE,0.5,0,SSP-0118,7590000000118
CREMA DE PEINAR DRENE 240 ML,4.5,0,CDPD2M-0119,7590000000119
CREMA DE PEINAR DAVEY 200 ML,1.9,0,CDPD2M-0120,7590000000120
LOCION AMY 200 ML,5.5,0,LA2M-0121,7590000000121
TALCO BERNICE 200G,2.0,0,TB2-0122,7590000000122
LOCION HUGME NINO 200 ML,2.2,0,LHN2M-0123,7590000000123
COLONIA HUGME NINO Y NINA 200 ML,1.8,0,CHNYN2M-0124,7590000000124
CREMA CORPORAL EVERY NIGHT 200G,4.0,0,CCEN2-0125,7590000000125
CREMA CORPORAL DERMOX 365G,5.5,0,CCD3-0126,7590000000126
BOROCABFOR 60G,2.0,0,B6-0127,7590000000127
VASELINA 50 ML PEQUENA,1.6,0,V5MP-0128,7590000000128
VASELINA 100 ML GRANDE,2.0,0,V1MG-0129,7590000000129
TOALLAS SANITARIAS HUGME VERDE,1.2,0,TSHV-0130,7590000000130
TOALLAS SANITARIAS HUGME MORADAS,1.2,0,TSHM-0131,7590000000131
TOALLAS SANITARIAS HUGME NOCTURNA,1.8,0,TSHN-0132,7590000000132
TOALLAS DIARIAS HUGME,1.0,0,TDH-0133,7590000000133
HILOS DENTAL COLGATE,4.0,0,HDC-0134,7590000000134
ENJUEGUE BOCAL 250 ML,5.0,0,EB2M-0135,7590000000135
AFEITADORA MAX III,0.45,0,AMI-0136,7590000000136
AFEITADORA DORCO,0.5,0,AD-0137,7590000000137
PARAGUAS,7.0,0,P-0138,7590000000138
GORRAS SENCILLAS,3.5,0,GS-0139,7590000000139
GORRAS DE PAJARO,7.0,0,GDP-0140,7590000000140
GALLETAS CRAKENAS PAQUETE,3.2,0,GCP-0141,7590000000141
GORRAS NINO,3.5,0,GN-0142,7590000000142
TAPA BOCA ADULTO,0.5,0,TBA-0143,7590000000143
TAZAS SOPERA,0.35,0,TS-0144,7590000000144
TAZAS CONSEVADORAS,2.0,0,TC-0145,7590000000145
COLADOR DE PASTA,1.6,0,CDP-0146,7590000000146
CERA MIEL PEQUENA,6.0,0,CMP-0147,7590000000147
POLVO ACRILICO,3.0,0,PA-0148,7590000000148
VELA AROMATICA,5.0,0,VA-0149,7590000000149
PERFUMES A BASE ACEITE Y FEROMONAS,5.0,0,PABAYF-0150,7590000000150
RELOJ DEPORTIVO,7.0,0,RD-0151,7590000000151
